location,month,season,temp_max,temp_min,temp_avg,humidity,pressure,wind_speed,dew_point,rain_3days_ago,rain_2days_ago,rain_1day_ago,day_of_year,day_of_week,is_weekend,temp_range,temp_dew_diff,rain_history_sum,wind_direction_sin,wind_direction_cos
Phuket,1,Winter,29.3,22.5,25.9,75.6,1012.0,15.8,22.0,0,0,0,11,3,0,6.800000000000001,0.5,0,0.0,1.0
Khon_Kaen,4,Summer,34.3,26.5,30.4,66.0,1007.4,10.9,23.9,0,0,0,96,4,0,7.799999999999997,2.6000000000000014,0,0.7071067811865476,0.7071067811865476
Chiang_Mai,2,Winter,32.1,13.849999999999998,22.5,69.0,995.4499999999999,2.9,12.8,1,0,0,59,2,0,18.250000000000004,1.0499999999999972,1,-0.7071067811865475,-0.7071067811865477
Bangkok,5,Summer,32.0,27.9,29.9,72.8,1008.0,12.2,26.2,0,1,1,125,5,1,4.100000000000001,1.6999999999999993,2,0.7071067811865476,-0.7071067811865475
Bangkok,5,Summer,29.7,24.0,26.9,61.9,1011.4,8.3,23.3,1,0,1,144,3,0,5.699999999999999,0.6999999999999993,2,0.7071067811865476,-0.7071067811865475
Phuket,4,Summer,33.1,27.5,30.3,64.0,1011.0,9.0,24.6,0,0,1,94,2,0,5.600000000000001,2.8999999999999986,1,0.7071067811865476,-0.7071067811865475
Phuket,2,Winter,27.4,22.8,25.1,83.2,1008.9,6.7,22.8,0,1,0,55,5,1,4.599999999999998,0.0,1,0.7071067811865476,0.7071067811865476
Hat_Yai,6,Rainy,33.3,22.91108312342569,28.4,86.2,1005.7,6.4,21.79794871794872,1,1,1,160,5,1,10.388916876574307,1.1131344054769698,3,0.7071067811865476,0.7071067811865476
Phuket,6,Rainy,31.6,24.3,28.0,91.8,1007.3,15.2,21.2,1,1,1,173,4,0,7.300000000000001,3.1000000000000014,3,-0.7071067811865477,0.7071067811865474
Khon_Kaen,2,Winter,32.3,20.7,26.5,52.1,1006.7,8.7,20.7,0,0,0,45,2,0,11.599999999999998,0.0,0,-1.0,-1.8369701987210297e-16
Bangkok,6,Rainy,26.0,24.0,25.0,95.0,1006.1,11.4,24.0,1,1,1,167,5,1,2.0,0.0,3,1.2246467991473532e-16,-1.0
Bangkok,9,Rainy,30.9,20.6,25.8,73.0,1013.1,11.9,20.6,1,1,1,249,3,0,10.299999999999997,0.0,3,0.7071067811865476,-0.7071067811865475
