date,location,month,season,temp_max,temp_min,temp_avg,humidity,pressure,wind_speed,wind_direction,dew_point,rain_3days_ago,rain_2days_ago,rain_1day_ago,rain_probability,rainfall
2024-01-01,Bangkok,1,Winter,26.7,18.2,22.4,58.1,1009.3,9.3,SE,18.2,0,0,0,9.2,0
2024-01-01,Chiang_Mai,1,Winter,31.7,21.4,26.5,62.9,999.0,6.1,NW,12.0,0,0,0,12.8,0
2024-01-01,Phuket,1,Winter,28.0,23.2,25.6,76.3,1006.9,12.8,SE,21.3,0,0,0,33.6,0
2024-01-01,Khon_Kaen,1,Winter,30.3,19.1,24.7,70.5,1008.2,6.5,SW,15.7,0,0,0,15.2,0
2024-01-01,Hat_Yai,1,Winter,29.5,20.3,,76.0,1010.8,14.0,N,20.3,0,0,0,31.1,0
2024-01-02,Bangkok,1,Winter,27.1,21.6,24.3,64.8,1009.4,11.7,SE,18.4,0,0,0,19.0,0
2024-01-02,Chiang_Mai,1,Winter,29.4,17.1,23.2,57.1,1005.4,5.4,NE,11.7,0,0,0,7.3,0
2024-01-02,Phuket,1,Winter,30.2,23.1,26.6,70.4,1004.0,16.8,NW,22.8,0,0,0,34.1,0
2024-01-02,Khon_Kaen,1,Winter,33.3,15.2,24.3,51.3,,9.5,NW,,1,0,0,23.2,0
2024-01-02,Hat_Yai,1,Winter,31.1,19.9,25.5,80.6,1009.0,9.6,N,19.9,0,0,0,27.9,0
2024-01-03,Bangkok,1,Winter,29.3,22.2,25.8,54.4,1010.7,3.6,S,22.2,0,0,0,13.6,1
2024-01-03,Chiang_Mai,1,Winter,27.7,14.0,20.8,73.8,998.3,6.6,NE,14.0,0,0,0,21.9,0
2024-01-03,Phuket,1,Winter,27.5,22.7,25.1,81.7,1009.7,13.0,NW,22.7,0,0,0,38.3,0
2024-01-03,Khon_Kaen,1,Winter,29.9,16.3,23.1,53.8,1000.5,7.6,SE,16.3,1,0,0,26.4,0
2024-01-03,Hat_Yai,1,Winter,29.5,20.2,24.8,82.6,1005.7,8.5,NE,20.2,0,0,0,31.4,1
2024-01-04,Bangkok,1,Winter,27.0,20.6,23.8,73.1,1012.6,11.5,N,19.3,0,0,1,41.5,1
2024-01-04,Chiang_Mai,1,Winter,26.7,19.2,23.0,60.0,,,,15.7,0,0,0,10.2,0
2024-01-04,Phuket,1,Winter,30.0,23.1,26.6,77.3,1009.9,13.1,SW,23.1,0,0,1,50.2,0
2024-01-04,Khon_Kaen,1,Winter,31.0,19.8,25.4,51.7,1009.1,4.9,N,19.8,0,0,0,11.2,0
2024-01-04,Hat_Yai,1,Winter,28.1,20.0,24.1,77.4,1012.2,12.1,E,20.0,0,0,0,31.0,1
2024-01-05,Bangkok,1,Winter,26.6,20.0,23.3,71.7,1012.3,4.1,NW,20.0,0,1,1,50.4,0
2024-01-05,Chiang_Mai,1,Winter,31.0,18.6,24.8,46.0,999.9,5.1,E,18.0,0,0,0,13.6,0
2024-01-05,Phuket,1,Winter,28.9,22.8,25.9,67.7,1009.0,7.4,N,20.6,0,1,1,48.4,0
2024-01-05,Khon_Kaen,1,Winter,,,26.9,65.8,,5.4,S,,0,0,0,18.5,0
2024-01-05,Hat_Yai,1,Winter,29.5,19.7,24.6,69.1,1010.9,,NW,,0,0,0,17.4,0
2024-01-06,Bangkok,1,Winter,25.4,19.1,22.2,59.3,1007.8,4.0,N,19.1,1,1,0,41.0,1
2024-01-06,Chiang_Mai,1,Winter,27.2,12.5,19.8,67.2,995.8,8.2,W,12.5,0,0,0,17.8,1
2024-01-06,Phuket,1,Winter,28.9,23.8,26.3,76.1,1006.2,13.4,S,19.6,1,1,0,61.9,1
2024-01-06,Khon_Kaen,1,Winter,33.4,15.9,24.6,65.1,1001.3,8.8,S,15.9,0,0,1,29.5,0
2024-01-06,Hat_Yai,1,Winter,30.6,22.0,26.3,75.0,1009.0,7.7,NW,18.6,0,0,0,21.9,0
2024-01-07,Bangkok,1,Winter,24.6,21.7,23.2,60.5,1008.6,9.7,N,20.1,1,0,1,42.3,0
2024-01-07,Chiang_Mai,1,Winter,29.9,16.1,23.0,48.3,1004.0,8.1,E,16.1,0,0,1,24.3,1
2024-01-07,Phuket,1,Winter,31.0,22.8,26.9,71.8,1011.5,16.7,NE,22.3,1,0,0,46.6,1
2024-01-07,Khon_Kaen,1,Winter,29.5,16.7,23.1,63.1,1005.1,5.9,S,16.7,0,1,1,41.9,0
2024-01-07,Hat_Yai,1,Winter,32.2,21.2,26.7,69.5,1010.4,13.2,E,21.2,0,0,0,26.6,1
2024-01-08,Bangkok,1,Winter,28.4,19.0,23.7,51.8,1008.4,11.3,E,19.0,0,1,0,31.2,1
2024-01-08,Chiang_Mai,1,Winter,32.9,16.5,24.7,48.8,1005.1,3.4,NE,16.5,0,1,1,39.2,0
2024-01-08,Phuket,1,Winter,28.5,22.1,25.3,81.1,1004.7,11.5,N,22.1,0,0,1,53.7,0
2024-01-08,Khon_Kaen,1,Winter,32.1,18.2,25.2,59.8,1009.0,7.2,NE,18.2,1,1,0,39.4,0
2024-01-08,Hat_Yai,1,Winter,31.2,22.8,27.0,79.5,1005.9,14.8,NE,20.1,0,0,0,36.1,0
2024-01-09,Bangkok,1,Winter,28.1,23.3,25.7,51.0,1006.6,11.2,S,18.0,1,0,1,45.9,0
2024-01-09,Chiang_Mai,1,Winter,31.0,16.4,23.7,73.1,995.5,9.6,NE,16.4,1,1,0,54.4,1
2024-01-09,Phuket,1,Winter,30.4,23.5,26.9,74.7,1004.8,7.6,S,23.5,0,1,0,44.5,1
2024-01-09,Khon_Kaen,1,Winter,30.0,18.2,24.1,58.5,1001.0,,N,14.6,1,0,1,39.5,0
2024-01-09,Hat_Yai,1,Winter,30.1,20.2,25.1,68.7,1007.1,7.6,N,20.2,0,0,0,19.6,0
2024-01-10,Bangkok,1,Winter,24.6,22.4,23.5,74.8,1009.6,5.2,N,17.6,0,1,0,35.2,0
2024-01-10,Chiang_Mai,1,Winter,31.9,17.7,24.8,62.5,995.9,10.0,W,13.0,1,0,1,44.1,1
2024-01-10,Phuket,1,Winter,30.5,23.7,27.1,72.1,1010.3,13.4,E,22.7,1,0,0,45.7,1
2024-01-10,Khon_Kaen,1,Winter,28.8,22.3,25.6,47.0,1007.4,10.9,NW,17.0,0,1,1,44.1,0
2024-01-10,Hat_Yai,1,Winter,32.4,19.2,25.8,75.3,1009.0,9.1,SE,19.2,0,0,0,22.9,0
2024-01-11,Bangkok,1,Winter,27.9,20.0,24.0,50.6,1009.0,8.3,N,17.5,1,0,0,23.5,0
2024-01-11,Chiang_Mai,1,Winter,29.1,19.0,24.1,64.1,995.2,2.8,E,12.7,0,1,1,45.7,0
2024-01-11,Phuket,1,Winter,29.3,22.5,25.9,75.6,1012.0,15.8,N,22.0,0,0,0,33.8,0
2024-01-11,Khon_Kaen,1,Winter,27.2,22.8,25.0,47.5,1006.7,5.4,N,19.1,1,1,0,41.5,1
2024-01-11,Hat_Yai,1,Winter,32.1,20.2,26.2,74.4,1009.0,8.0,NE,20.2,0,0,1,38.3,0
2024-01-12,Bangkok,1,Winter,26.1,18.1,22.1,72.0,1012.1,12.3,SE,18.1,0,0,0,24.5,0
2024-01-12,Chiang_Mai,1,Winter,33.7,16.4,25.1,52.1,998.5,5.1,SW,14.9,1,1,0,40.7,0
2024-01-12,Phuket,1,Winter,30.1,23.3,26.7,73.8,1006.2,14.6,E,20.2,0,0,0,31.6,0
2024-01-12,Khon_Kaen,1,Winter,31.5,21.9,26.7,71.1,1007.3,10.0,SW,14.6,1,0,0,30.2,0
2024-01-12,Hat_Yai,1,Winter,27.9,22.2,25.1,75.5,1010.7,12.2,NE,22.2,0,1,0,47.2,1
2024-01-13,Bangkok,1,Winter,24.7,20.5,22.6,76.4,1011.4,8.5,SW,19.4,0,0,0,23.3,0
2024-01-13,Chiang_Mai,1,Winter,29.5,20.1,24.8,44.5,995.0,4.9,E,17.0,1,0,0,29.9,0
2024-01-13,Phuket,1,Winter,27.5,22.7,25.1,77.1,1004.4,12.9,NE,22.7,0,0,1,52.1,1
2024-01-13,Khon_Kaen,1,Winter,27.5,18.0,22.8,57.3,1004.5,7.0,SE,15.4,0,0,0,8.3,0
2024-01-13,Hat_Yai,1,Winter,29.5,20.0,24.8,81.8,1006.9,5.0,E,20.0,1,0,0,45.0,1
2024-01-14,Bangkok,1,Winter,26.4,19.1,22.8,57.1,1013.5,7.1,E,16.6,0,0,0,6.9,0
2024-01-14,Chiang_Mai,1,Winter,33.4,19.7,26.5,45.2,1001.4,2.2,N,18.6,0,0,1,28.6,0
2024-01-14,Phuket,1,Winter,29.6,21.1,25.4,71.6,1011.2,7.3,E,21.1,0,1,1,51.6,0
2024-01-14,Khon_Kaen,1,Winter,26.8,19.8,23.3,72.6,1008.6,10.3,SW,19.7,0,0,0,26.6,0
2024-01-14,Hat_Yai,1,Winter,30.2,20.3,25.3,80.7,1009.1,9.7,N,20.3,0,0,0,28.3,0
2024-01-15,Bangkok,1,Winter,27.8,20.4,24.1,72.4,1006.3,9.3,SE,20.4,0,0,0,23.2,0
2024-01-15,Chiang_Mai,1,Winter,29.2,15.3,22.2,71.5,1001.0,5.8,SE,12.6,0,1,0,33.7,0
2024-01-15,Phuket,1,Winter,27.9,23.2,25.6,69.9,1009.8,12.4,SW,23.2,1,1,0,59.1,1
