Feature,Importance
rain_history_sum,0.4066672
day_of_year,0.054974113
season_Winter,0.054629963
rain_2days_ago,0.048418242
rain_3days_ago,0.04639144
humidity,0.03765503
month_5,0.023554016
month_12,0.021744307
month_3,0.020229246
wind_direction_sin,0.01989257
month_4,0.01830726
is_weekend,0.01819739
wind_speed,0.017972194
season_Summer,0.01727458
wind_direction_cos,0.016469574
dew_point,0.016450746
temp_min,0.015964845
month_2,0.015368895
temp_max,0.015176019
pressure,0.015110031
rain_1day_ago,0.014654658
temp_avg,0.0145994965
temp_dew_diff,0.014247081
temp_range,0.014069715
day_of_week,0.012766667
location_Phuket,0.012284298
location_Khon_Kaen,0.012000973
month_11,0.0049294992
location_Chiang_Mai,0.0
location_Hat_Yai,0.0
month_6,0.0
month_8,0.0
month_7,0.0
month_10,0.0
month_9,0.0
